WP-Nr,Zeit,Breitengrad,Längengrad,Höhe
1,1544190997659,51.44800°N,7.27084°E,129.0m
2,1544191034868,51.44828°N,7.27171°E,128.7m
3,1544191060019,51.44796°N,7.27199°E,127.5m
4,1544191070070,51.44783°N,7.27202°E,127.0m
5,1544191103835,51.44733°N,7.27246°E,126.3m
6,1544191120806,51.44714°N,7.27223°E,126.2m
7,1544191135887,51.44693°N,7.27236°E,125.9m
8,1544191159740,51.44674°N,7.27176°E,126.3m
